"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","browser_interaction","success","timeout","failed_images","failed_audio","failed_video","value","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","numberMissed","duration","condition","order","trial_num","key_press","ground_truth","bonus"
"revaluation","388","2082086","0.0-5.0-2.1-0.98","spark_pilot_2","7515","7","23","Male","","","true","","","","","[]","./assets/img/ocean/memory/6.jpg","[]","value training","ocean","-5","{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}","false","","false","","","revaluation","2","96","","",""
"html-keyboard-response","389","2082588","0.0-5.0-2.1-1.98","spark_pilot_2","7515","7","23","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","97","","",""
"revaluation","390","2086593","0.0-5.0-2.1-0.99","spark_pilot_2","7515","7","23","Male","","","true","","","","","[]","./assets/img/ocean/memory/1.jpg","[]","value training","ocean","-5","{""ArrowUp,ArrowLeft"":26,""ArrowUp,ArrowRight"":10,""ArrowDown,ArrowLeft"":5,""ArrowDown,ArrowRight"":17}","false","","false","","","revaluation","2","98","","",""
"html-keyboard-response","391","2087095","0.0-5.0-2.1-1.99","spark_pilot_2","7515","7","23","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","99","","",""
"learning-instructions","392","2133489","0.0-5.0-3.1-0.1","spark_pilot_2","7515","7","23","Male","","","","","","","","33514","<p> Now, you will travel with a friend who will choose whether you go up or down first. </p>
            <p> On these turns, you will just see the animal that they found. You will still get to choose which chest to search for treasure.</p>","","instructions","","","","","","","","","","","","","",""
"revaluation","393","2137493","0.0-5.0-4.1-0.18","spark_pilot_2","7515","7","23","Male","","","false","","","","","[1337]","./assets/img/ocean/animals/seahorse.jpg","[""ArrowRight""]","revaluation","ocean","11","{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}","true","ArrowUp,ArrowRight","","","","revaluation","2","0","","",""
"html-keyboard-response","394","2137995","0.0-5.0-4.1-1.18","spark_pilot_2","7515","7","23","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","1","","",""
"revaluation","395","2142001","0.0-5.0-4.1-0.19","spark_pilot_2","7515","7","23","Male","","","false","","","","","[799]","./assets/img/ocean/animals/octopus.jpg","[""ArrowRight""]","revaluation","ocean","27","{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}","true","ArrowDown,ArrowRight","","","","revaluation","2","2","","",""
"html-keyboard-response","396","2142503","0.0-5.0-4.1-1.19","spark_pilot_2","7515","7","23","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","3","","",""
"revaluation","397","2146508","0.0-5.0-4.1-0.20","spark_pilot_2","7515","7","23","Male","","","false","","","","","[1692]","./assets/img/ocean/animals/octopus.jpg","[""ArrowRight""]","revaluation","ocean","27","{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}","true","ArrowDown,ArrowRight","","","","revaluation","2","4","","",""
"html-keyboard-response","398","2147010","0.0-5.0-4.1-1.20","spark_pilot_2","7515","7","23","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","5","","",""
"revaluation","399","2151016","0.0-5.0-4.1-0.21","spark_pilot_2","7515","7","23","Male","","","false","","","","","[888]","./assets/img/ocean/animals/seahorse.jpg","[""ArrowRight""]","revaluation","ocean","11","{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}","true","ArrowUp,ArrowRight","","","","revaluation","2","6","","",""
"html-keyboard-response","400","2151518","0.0-5.0-4.1-1.21","spark_pilot_2","7515","7","23","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","7","","",""
"revaluation","401","2155523","0.0-5.0-4.1-0.22","spark_pilot_2","7515","7","23","Male","","","true","","","","","[]","./assets/img/ocean/animals/seahorse.jpg","[]","revaluation","ocean","-5","{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}","false","ArrowUp","","","","revaluation","2","8","","",""
"html-keyboard-response","402","2156025","0.0-5.0-4.1-1.22","spark_pilot_2","7515","7","23","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","9","","",""
"revaluation","403","2160029","0.0-5.0-4.1-0.23","spark_pilot_2","7515","7","23","Male","","","true","","","","","[]","./assets/img/ocean/animals/seahorse.jpg","[]","revaluation","ocean","-5","{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}","false","ArrowUp","","","","revaluation","2","10","","",""
"html-keyboard-response","404","2160531","0.0-5.0-4.1-1.23","spark_pilot_2","7515","7","23","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","11","","",""
"revaluation","405","2164536","0.0-5.0-4.1-0.24","spark_pilot_2","7515","7","23","Male","","","false","","","","","[647]","./assets/img/ocean/animals/octopus.jpg","[""ArrowRight""]","revaluation","ocean","27","{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}","true","ArrowDown,ArrowRight","","","","revaluation","2","12","","",""
"html-keyboard-response","406","2165038","0.0-5.0-4.1-1.24","spark_pilot_2","7515","7","23","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","13","","",""
"revaluation","407","2169044","0.0-5.0-4.1-0.25","spark_pilot_2","7515","7","23","Male","","","true","","","","","[]","./assets/img/ocean/animals/seahorse.jpg","[]","revaluation","ocean","-5","{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}","false","ArrowUp","","","","revaluation","2","14","","",""
"html-keyboard-response","408","2169545","0.0-5.0-4.1-1.25","spark_pilot_2","7515","7","23","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","15","","",""
"revaluation","409","2173551","0.0-5.0-4.1-0.26","spark_pilot_2","7515","7","23","Male","","","false","","","","","[1408]","./assets/img/ocean/animals/octopus.jpg","[""ArrowLeft""]","revaluation","ocean","8","{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}","false","ArrowDown,ArrowLeft","","","","revaluation","2","16","","",""
"html-keyboard-response","410","2174053","0.0-5.0-4.1-1.26","spark_pilot_2","7515","7","23","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","17","","",""
"revaluation","411","2178058","0.0-5.0-4.1-0.27","spark_pilot_2","7515","7","23","Male","","","true","","","","","[]","./assets/img/ocean/animals/octopus.jpg","[]","revaluation","ocean","-5","{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}","false","ArrowDown","","","","revaluation","2","18","","",""
"html-keyboard-response","412","2178560","0.0-5.0-4.1-1.27","spark_pilot_2","7515","7","23","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","19","","",""
"revaluation","413","2182566","0.0-5.0-4.1-0.28","spark_pilot_2","7515","7","23","Male","","","true","","","","","[]","./assets/img/ocean/animals/seahorse.jpg","[]","revaluation","ocean","-5","{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}","false","ArrowUp","","","","revaluation","2","20","","",""
"html-keyboard-response","414","2183068","0.0-5.0-4.1-1.28","spark_pilot_2","7515","7","23","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","21","","",""
"revaluation","415","2187073","0.0-5.0-4.1-0.29","spark_pilot_2","7515","7","23","Male","","","true","","","","","[]","./assets/img/ocean/animals/octopus.jpg","[]","revaluation","ocean","-5","{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}","false","ArrowDown","","","","revaluation","2","22","","",""
"html-keyboard-response","416","2187575","0.0-5.0-4.1-1.29","spark_pilot_2","7515","7","23","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","23","","",""
"revaluation","417","2191580","0.0-5.0-4.1-0.30","spark_pilot_2","7515","7","23","Male","","","false","","","","","[1585.0000000004657]","./assets/img/ocean/animals/seahorse.jpg","[""ArrowRight""]","revaluation","ocean","11","{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}","true","ArrowUp,ArrowRight","","","","revaluation","2","24","","",""
"html-keyboard-response","418","2192082","0.0-5.0-4.1-1.30","spark_pilot_2","7515","7","23","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","25","","",""
"revaluation","419","2196088","0.0-5.0-4.1-0.31","spark_pilot_2","7515","7","23","Male","","","true","","","","","[]","./assets/img/ocean/animals/octopus.jpg","[]","revaluation","ocean","-5","{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}","false","ArrowDown","","","","revaluation","2","26","","",""
"html-keyboard-response","420","2196590","0.0-5.0-4.1-1.31","spark_pilot_2","7515","7","23","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","27","","",""
"revaluation","421","2200595","0.0-5.0-4.1-0.32","spark_pilot_2","7515","7","23","Male","","","true","","","","","[]","./assets/img/ocean/animals/octopus.jpg","[]","revaluation","ocean","-5","{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}","false","ArrowDown","","","","revaluation","2","28","","",""
"html-keyboard-response","422","2201097","0.0-5.0-4.1-1.32","spark_pilot_2","7515","7","23","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","29","","",""
"revaluation","423","2205103","0.0-5.0-4.1-0.33","spark_pilot_2","7515","7","23","Male","","","false","","","","","[1310]","./assets/img/ocean/animals/seahorse.jpg","[""ArrowLeft""]","revaluation","ocean","2","{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}","false","ArrowUp,ArrowLeft","","","","revaluation","2","30","","",""
"html-keyboard-response","424","2205605","0.0-5.0-4.1-1.33","spark_pilot_2","7515","7","23","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","31","","",""
"revaluation","425","2209610","0.0-5.0-4.1-0.34","spark_pilot_2","7515","7","23","Male","","","true","","","","","[]","./assets/img/ocean/animals/octopus.jpg","[]","revaluation","ocean","-5","{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}","false","ArrowDown","","","","revaluation","2","32","","",""
"html-keyboard-response","426","2210112","0.0-5.0-4.1-1.34","spark_pilot_2","7515","7","23","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","33","","",""
"revaluation","427","2214117","0.0-5.0-4.1-0.35","spark_pilot_2","7515","7","23","Male","","","true","","","","","[]","./assets/img/ocean/animals/seahorse.jpg","[]","revaluation","ocean","-5","{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}","false","ArrowUp","","","","revaluation","2","34","","",""
"html-keyboard-response","428","2214619","0.0-5.0-4.1-1.35","spark_pilot_2","7515","7","23","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","35","","",""
"learning-instructions","429","2254175","0.0-5.0-5.1-0.1","spark_pilot_2","7515","7","23","Male","","","","","","","","28274","<p> Time to play the dot game! </p>
            <p> For one minute, click the red dots on the following screen as they appear. </p>
            <p><b> Don't look away, as you will earn bonus for clicking dots</b>. </p>","","instructions","","","","","","","","","","","","","",""
"revaluation","430","2314174","0.0-5.0-6.1-0.1","spark_pilot_2","7515","7","23","Male","","","","","","","","[115,84,60,76,128,65]","","","rest","","60","","","","","0","60000","","","","","",""
"learning-instructions","431","2332341","0.0-5.0-7.1-0.2","spark_pilot_2","7515","7","23","Male","","","","","","","","12067","<p> You have almost finished this part of the game! </p>
            <p> We are going to ask you to make a few more choices. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","432","2363196","0.0-5.0-7.1-0.3","spark_pilot_2","7515","7","23","Male","","","","","","","","16882","<p> First, you need to decide whether to go up or down. When you see each picture, use the arrow keys to make your choice. </p>
            <p><b>You will not see which animal you found, but try to get to the one that will give you the most treasure.</b></p>","","instructions","","","","","","","","","","","","","",""
"revaluation","433","2363988","0.0-5.0-8.1-0.4","spark_pilot_2","7515","7","23","Male","","","false","","","","","[789]","./assets/img/ocean/test/0.jpg","[""ArrowDown""]","first stage test","ocean","0","{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}","true","ArrowDown","false","","","revaluation","2","","","",""
"html-keyboard-response","434","2364489","0.0-5.0-8.1-1.4","spark_pilot_2","7515","7","23","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","435","2364948","0.0-5.0-8.1-0.5","spark_pilot_2","7515","7","23","Male","","","false","","","","","[454.99999999953434]","./assets/img/ocean/test/2.jpg","[""ArrowDown""]","first stage test","ocean","0","{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}","true","ArrowDown","false","","","revaluation","2","","","",""
"html-keyboard-response","436","2365450","0.0-5.0-8.1-1.5","spark_pilot_2","7515","7","23","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","437","2365716","0.0-5.0-8.1-0.6","spark_pilot_2","7515","7","23","Male","","","false","","","","","[263]","./assets/img/ocean/test/3.jpg","[""ArrowUp""]","first stage test","ocean","0","{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}","false","ArrowUp","false","","","revaluation","2","","","",""
"html-keyboard-response","438","2366218","0.0-5.0-8.1-1.6","spark_pilot_2","7515","7","23","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","439","2366460","0.0-5.0-8.1-0.7","spark_pilot_2","7515","7","23","Male","","","false","","","","","[239]","./assets/img/ocean/test/1.jpg","[""ArrowUp""]","first stage test","ocean","0","{""ArrowUp,ArrowLeft"":2,""ArrowUp,ArrowRight"":11,""ArrowDown,ArrowLeft"":8,""ArrowDown,ArrowRight"":27}","false","ArrowUp","false","","","revaluation","2","","","",""
"html-keyboard-response","440","2366962","0.0-5.0-8.1-1.7","spark_pilot_2","7515","7","23","Male","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","441","2487036","0.0-5.0-9.1-0.1","spark_pilot_2","7515","7","23","Male","","","","","","","","108738","<p> Now you will see the animals again and can search their chests for treasure. </p>
            <p> This time, you will not see how much treasure you earned, but you will earn more bonus money for making better choices. </p>","","instructions","","","","","","","","","","","","","",""
