"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","rest","success","timeout","failed_images","failed_audio","failed_video","browser_interaction","value","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","audioStim","slider_start","answer","error","trial_num","condition","order","bonus"
"learning-instructions","10","98078","0.0-4.0-1.0-0.5","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","668","<p> You need to decide which direction to travel in. </p>
            <p> You can choose between going <b>up or down</b> by using the arrow keys. </p>
            <img src='./assets/img/instructions/updown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","11","107786","0.0-4.0-1.0-0.6","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","903.9999999999854","<p> You will have <b>2 seconds</b> to make your choice. </p>
            <p> If you do not make a choice within 2 seconds, you will not find an animal or earn treasure. </p>
            <img src='./assets/img/instructions/2seconds.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","12","116264","0.0-4.0-1.0-0.7","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","1440","<p> Let’s try practicing that now! </p>
            <p> When you see a picture of the place you are in, press the <b>up</b> key to travel up. </p>
            <img src='./assets/img/instructions/pressUp.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"revaluation","13","120296","0.0-4.0-2.0-0.0","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","false","","","","","","[957]","./assets/img/space/0.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","",""
"html-keyboard-response","14","120799","0.0-4.0-2.0-1.0","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","15","124839","0.0-4.0-2.0-0.1","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","false","","","","","","[1261]","./assets/img/space/1.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","",""
"html-keyboard-response","16","125341","0.0-4.0-2.0-1.1","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","17","129376","0.0-4.0-2.0-0.2","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","false","","","","","","[612.9999999999854]","./assets/img/space/2.jpg","[""ArrowUp""]","first stage practice","space","0","null","null","ArrowUp","false","","","","","","","",""
"html-keyboard-response","18","129878","0.0-4.0-2.0-1.2","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","19","134945","0.0-4.0-3.0-0.0","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","360","<p> Great job! Now try pressing the <b>down</b> key to travel down. </p>
            <img src='./assets/img/instructions/pressDown.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"revaluation","20","138964","0.0-4.0-4.0-0.0","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","false","","","","","","[317]","./assets/img/space/3.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","",""
"html-keyboard-response","21","139465","0.0-4.0-4.0-1.0","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","22","143487","0.0-4.0-4.0-0.1","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","false","","","","","","[339]","./assets/img/space/4.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","",""
"html-keyboard-response","23","143988","0.0-4.0-4.0-1.1","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","24","148009","0.0-4.0-4.0-0.2","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","false","","","","","","[182]","./assets/img/space/5.jpg","[""ArrowDown""]","first stage practice","space","0","null","null","ArrowDown","false","","","","","","","",""
"html-keyboard-response","25","148510","0.0-4.0-4.0-1.2","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","26","159451","0.0-4.0-5.0-0.0","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","1104","<p> The animals don’t move, so the animal in the upper part of a place will stay in the upper part of a place, and the animal in the lower part of a place will stay in the lower part of a place. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","27","169290","0.0-4.0-5.0-0.1","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","721","<p> Each animal has two treasure chests for you to choose from. </p>
            <p> The amount of treasure in each chest can range from <b> 0 to 40 pieces.</b></p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","28","182385","0.0-4.0-5.0-0.2","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","1906","<p> You should decide which chest to search for treasure by using the <b>left</b> and <b>right</b> arrow keys. </p>
            <p><b> Pay attention to which animal is on the screen, as the animals have different treasure chests. </b></p>
            <img src='./assets/img/instructions/leftright.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","29","189423","0.0-4.0-5.0-0.3","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","667.0000000000291","<p> Let’s try practicing that now. </p>
            <p> When you see an animal, choose which chest to search for treasure. </p>
            <img src='./assets/img/instructions/chooseChest.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"revaluation","30","193447","0.0-4.0-6.0-0.0","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","false","","","","","","[689]","./assets/img/space/animals/cat.jpg","[""ArrowRight""]","second stage practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","","","","","","","","",""
"html-keyboard-response","31","193948","0.0-4.0-6.0-1.0","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","32","197965","0.0-4.0-6.0-0.1","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","false","","","","","","[605]","./assets/img/space/animals/rabbit.jpg","[""ArrowLeft""]","second stage practice","space","15","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown,ArrowLeft","","","","","","","","",""
"html-keyboard-response","33","198466","0.0-4.0-6.0-1.1","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","34","202490","0.0-4.0-6.0-0.2","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","false","","","","","","[1100]","./assets/img/space/animals/cat.jpg","[""ArrowRight""]","second stage practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","","","","","","","","",""
"html-keyboard-response","35","202992","0.0-4.0-6.0-1.2","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","36","207015","0.0-4.0-6.0-0.3","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","false","","","","","","[1164]","./assets/img/space/animals/rabbit.jpg","[""ArrowRight""]","second stage practice","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowDown,ArrowRight","","","","","","","","",""
"html-keyboard-response","37","207517","0.0-4.0-6.0-1.3","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","38","225796","0.0-4.0-7.0-0.0","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","1485","<p> Great job. Now let’s try putting it together. </p>
            <p> On each turn, you will first see a picture to remind you of the place you are in, and you need to choose whether to go up or down. </p>
            <p> Then you will see an animal and choose which of its chests to search for treasure. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","39","234610","0.0-4.0-7.0-0.1","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","563","<p> When you choose whether to go up or down, try to go to the animal with the chest with the most treasure. </p>
            <p> Try practicing that now! </p>","","instructions","","","","","","","","","","","","","",""
"revaluation","40","240632","0.0-4.0-8.0-0.0","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","false","","","","","","[868,1072]","./assets/img/space/6.jpg","[""ArrowUp"",""ArrowRight""]","full practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","41","241135","0.0-4.0-8.0-1.0","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","42","247157","0.0-4.0-8.0-0.1","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","false","","","","","","[1004,509]","./assets/img/space/7.jpg","[""ArrowUp"",""ArrowLeft""]","full practice","space","3","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowUp,ArrowLeft","false","","","","","","","",""
"html-keyboard-response","43","247659","0.0-4.0-8.0-1.1","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","44","253683","0.0-4.0-8.0-0.2","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","false","","","","","","[986.0000000000291,894]","./assets/img/space/8.jpg","[""ArrowDown"",""ArrowRight""]","full practice","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown,ArrowRight","false","","","","","","","",""
"html-keyboard-response","45","254185","0.0-4.0-8.0-1.2","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","46","260209","0.0-4.0-8.0-0.3","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","false","","","","","","[781.9999999999709,358]","./assets/img/space/9.jpg","[""ArrowDown"",""ArrowLeft""]","full practice","space","15","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown,ArrowLeft","false","","","","","","","",""
"html-keyboard-response","47","260712","0.0-4.0-8.0-1.3","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","48","266735","0.0-4.0-8.0-0.4","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","false","","","","","","[517,448.0000000000582]","./assets/img/space/10.jpg","[""ArrowUp"",""ArrowRight""]","full practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","49","267237","0.0-4.0-8.0-1.4","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","50","278955","0.0-4.0-9.0-0.0","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","1403","<p> One last thing: sometimes, you will see a robber. The robber can be anywhere in the picture. </p>
            <p> If you do not stop them, you will lose treasure. </p>
            <img src='./assets/img/instructions/robber.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","51","286529","0.0-4.0-9.0-0.1","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","414","<p> If you see the robber, you should <b>press the space bar</b> rather than using the arrow keys. </p>
            <p> Try practicing that now! </p>","","instructions","","","","","","","","","","","","","",""
"revaluation","52","290550","0.0-4.0-10.0-0.0","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","false","","","","","","[847]","./assets/img/space/catch/0.jpg","[""spaceBar""]","catch practice","space","0","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","spaceBar","true","","","","","","","",""
"html-keyboard-response","53","291051","0.0-4.0-10.0-1.0","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","54","295073","0.0-4.0-10.0-0.1","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","false","","","","","","[603.0000000000582]","./assets/img/space/catch/1.jpg","[""spaceBar""]","catch practice","space","0","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","spaceBar","true","","","","","","","",""
"html-keyboard-response","55","295575","0.0-4.0-10.0-1.1","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","56","299595","0.0-4.0-10.0-0.2","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","false","","","","","","[487]","./assets/img/space/catch/2.jpg","[""spaceBar""]","catch practice","space","0","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","spaceBar","true","","","","","","","",""
"html-keyboard-response","57","300097","0.0-4.0-10.0-1.2","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","58","307037","0.0-4.0-11.0-0.0","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","1413","<p> Sometimes, you will come across a special kind of treasure chest that requires a password. </p>
            <img src='./assets/img/instructions/beep_chest.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","59","329477","0.0-4.0-11.0-0.1","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","821","<p> Your friend will send you the password using a series of beeps so that you can open the chest and earn treasure. </p>
            <p> You will hear two kinds of beeps, a high beep and a low beep. </p>
            <p> You should report the number of high beeps that you heard before seeing the chest. </p>
            <img src='./assets/img/instructions/listen.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","60","352477","0.0-4.0-11.0-0.2","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","714","<p> For example, if you hear this series of beeps, you should report 4 as the password using the slider. </p>
            <p> After reporting a password for a chest, you should count the high beeps again starting from 0. </p>
            <p> Let's try practicing that now. </p>","","instructions","","","","","","","","","","","","","",""
"audio-button-response","61","360495","0.0-4.0-12.0-0.0-0.0","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","null","./assets/audio/beeps/practice_6.wav","null","","","","","","","","","","","","","","",""
"html-slider-response","62","363730","0.0-4.0-12.0-0.0-1.0","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","3225","<div style=""width:500px;"">
        <p>What is the password?</p>
        <img src='./assets/img/instructions/beep_chest.jpg' class='instructions-image'>","6","beep chest","","","","false","","","","50","0","6","","","",""
"comp-q","63","369130","0.0-4.0-12.0-0.0-2.0","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","1196","<p>Correct! There were 6 high pitched beeps before you saw the chest. </p>","0","beep answer","","","","","","","","","","","","","",""
"audio-button-response","64","377152","0.0-4.0-12.0-0.1-0.1","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","null","./assets/audio/beeps/practice_4.wav","null","","","","","","","","","","","","","","",""
"html-slider-response","65","379758","0.0-4.0-12.0-0.1-1.1","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","2598","<div style=""width:500px;"">
        <p>What is the password?</p>
        <img src='./assets/img/instructions/beep_chest.jpg' class='instructions-image'>","4","beep chest","","","","false","","","","50","0","4","","","",""
"comp-q","66","384850","0.0-4.0-12.0-0.1-2.1","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","906.0000000000582","<p>Correct! There were 4 high pitched beeps before you saw the chest. </p>","0","beep answer","","","","","","","","","","","","","",""
"learning-instructions","67","396409","0.0-4.0-13.0-0.0","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","1252","<p> Good job! In the real game we will not tell you if you entered the right password. </p>
            <p> Do your best, the treasure you earn from these chests will also give you extra bonus money. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","68","402303","0.0-4.0-15.0-0.0-0.0","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","657","<p> Now, you will practice a shortened version of the game to get a sense of how it all fits together. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","69","406303","0.0-4.0-15.0-0.0-0.1","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","815","<p>This time you are searching for treasure in outer space.</p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","70","421716","0.0-4.0-15.0-1.0-0.0","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","665","<p> Remember, when you see a picture of the place, use the up and down keys to <b>find an animal</b>.</p>
            <p> When you encounter an animal, you should use the left and right keys to <b>select a treasure chest</b>.</p>
            <p> Don't forget to look out for the robber! </p>","","instructions","","","","","","","","","","","","","",""
"revaluation","71","427737","0.0-4.0-15.0-2.0-0.0","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","false","","","","","","[1384,793.0000000000582]","./assets/img/space/11.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","72","428240","0.0-4.0-15.0-2.0-1.0","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","73","434264","0.0-4.0-15.0-2.0-0.1","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","false","","","","","","[857,499]","./assets/img/space/12.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","74","434766","0.0-4.0-15.0-2.0-1.1","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","75","440789","0.0-4.0-15.0-2.0-0.2","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","false","","","","","","[628,428]","./assets/img/space/13.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","76","441290","0.0-4.0-15.0-2.0-1.2","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","77","447312","0.0-4.0-15.0-2.0-0.3","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","false","","","","","","[857,341]","./assets/img/space/14.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","78","447813","0.0-4.0-15.0-2.0-1.3","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","79","453835","0.0-4.0-15.0-2.0-0.4","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","false","","","","","","[774,323]","./assets/img/space/11.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","80","454337","0.0-4.0-15.0-2.0-1.4","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","81","460357","0.0-4.0-15.0-2.0-0.5","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","false","","","","","","[613,322.9999999999418]","./assets/img/space/12.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","82","460858","0.0-4.0-15.0-2.0-1.5","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","83","466879","0.0-4.0-15.0-2.0-0.6","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","false","","","","","","[505,306]","./assets/img/space/13.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","84","467380","0.0-4.0-15.0-2.0-1.6","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","85","473403","0.0-4.0-15.0-2.0-0.7","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","false","","","","","","[527.0000000000582,283]","./assets/img/space/14.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","86","473905","0.0-4.0-15.0-2.0-1.7","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","87","477926","0.0-4.0-15.0-2.0-0.8","pilot_wm_v1","61592ea07347e286bca1955f","7","null","null","false","","false","","","","","","[666]","./assets/img/space/catch/3.jpg","[""spaceBar""]","practice block","space","0","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","spaceBar","true","","","","","","","",""
