"trial_type","trial_index","time_elapsed","internal_node_id","task_version","subject_id","assigned_condition","age","gender","rest","browser_interaction","success","timeout","failed_images","failed_audio","failed_video","rt","stimulus","response","task_part","environment","score","rewardMap","correct","fullState","isCatch","audioStim","slider_start","answer","error","trial_num","condition","order","bonus"
"html-keyboard-response","25","169704","0.0-3.0-4.0-1.2","pilot_wm_v1","null","8","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","26","180167","0.0-3.0-5.0-0.0","pilot_wm_v1","null","8","null","null","false","","","","","","","620.7999999998137","<p> The animals don’t move, so the animal in the upper part of a place will stay in the upper part of a place, and the animal in the lower part of a place will stay in the lower part of a place. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","27","189882","0.0-3.0-5.0-0.1","pilot_wm_v1","null","8","null","null","false","","","","","","","605.8999999999069","<p> Each animal has two treasure chests for you to choose from. </p>
            <p> The amount of treasure in each chest can range from <b> 0 to 40 pieces.</b></p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","28","201574","0.0-3.0-5.0-0.2","pilot_wm_v1","null","8","null","null","false","","","","","","","527.5999999996275","<p> You should decide which chest to search for treasure by using the <b>left</b> and <b>right</b> arrow keys. </p>
            <p><b> Pay attention to which animal is on the screen, as the animals have different treasure chests. </b></p>
            <img src='./assets/img/instructions/leftright.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","29","208554","0.0-3.0-5.0-0.3","pilot_wm_v1","null","8","null","null","false","","","","","","","627.7999999998137","<p> Let’s try practicing that now. </p>
            <p> When you see an animal, choose which chest to search for treasure. </p>
            <img src='./assets/img/instructions/chooseChest.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"revaluation","30","212566","0.0-3.0-6.0-0.0","pilot_wm_v1","null","8","null","null","false","","","false","","","","[548.8999999999069]","./assets/img/space/animals/rabbit.jpg","[""ArrowRight""]","second stage practice","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowDown,ArrowRight","","","","","","","","",""
"html-keyboard-response","31","213070","0.0-3.0-6.0-1.0","pilot_wm_v1","null","8","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","32","217086","0.0-3.0-6.0-0.1","pilot_wm_v1","null","8","null","null","false","","","false","","","","[680.8999999999069]","./assets/img/space/animals/cat.jpg","[""ArrowLeft""]","second stage practice","space","3","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowUp,ArrowLeft","","","","","","","","",""
"html-keyboard-response","33","217591","0.0-3.0-6.0-1.1","pilot_wm_v1","null","8","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","34","221603","0.0-3.0-6.0-0.2","pilot_wm_v1","null","8","null","null","false","","","false","","","","[487.6999999997206]","./assets/img/space/animals/rabbit.jpg","[""ArrowRight""]","second stage practice","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowDown,ArrowRight","","","","","","","","",""
"html-keyboard-response","35","222117","0.0-3.0-6.0-1.2","pilot_wm_v1","null","8","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","36","226133","0.0-3.0-6.0-0.3","pilot_wm_v1","null","8","null","null","false","","","false","","","","[689.7999999998137]","./assets/img/space/animals/cat.jpg","[""ArrowRight""]","second stage practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","","","","","","","","",""
"html-keyboard-response","37","226637","0.0-3.0-6.0-1.3","pilot_wm_v1","null","8","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","38","244635","0.0-3.0-7.0-0.0","pilot_wm_v1","null","8","null","null","false","","","","","","","1209.3999999999069","<p> Great job. Now let’s try putting it together. </p>
            <p> On each turn, you will first see a picture to remind you of the place you are in, and you need to choose whether to go up or down. </p>
            <p> Then you will see an animal and choose which of its chests to search for treasure. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","39","253456","0.0-3.0-7.0-0.1","pilot_wm_v1","null","8","null","null","false","","","","","","","570.3999999999069","<p> When you choose whether to go up or down, try to go to the animal with the chest with the most treasure. </p>
            <p> Try practicing that now! </p>","","instructions","","","","","","","","","","","","","",""
"revaluation","40","259492","0.0-3.0-8.0-0.0","pilot_wm_v1","null","8","null","null","false","","","false","","","","[446.39999999990687,608.1999999997206]","./assets/img/space/6.jpg","[""ArrowUp"",""ArrowRight""]","full practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","41","259994","0.0-3.0-8.0-1.0","pilot_wm_v1","null","8","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","42","266013","0.0-3.0-8.0-0.1","pilot_wm_v1","null","8","null","null","false","","","false","","","","[396.79999999981374,591.7000000001863]","./assets/img/space/7.jpg","[""ArrowDown"",""ArrowRight""]","full practice","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown,ArrowRight","false","","","","","","","",""
"html-keyboard-response","43","266515","0.0-3.0-8.0-1.1","pilot_wm_v1","null","8","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","44","272541","0.0-3.0-8.0-0.2","pilot_wm_v1","null","8","null","null","false","","","false","","","","[362.89999999990687,420.70000000018626]","./assets/img/space/8.jpg","[""ArrowDown"",""ArrowRight""]","full practice","space","23","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowDown,ArrowRight","false","","","","","","","",""
"html-keyboard-response","45","273056","0.0-3.0-8.0-1.2","pilot_wm_v1","null","8","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","46","279077","0.0-3.0-8.0-0.3","pilot_wm_v1","null","8","null","null","false","","","false","","","","[269.70000000018626,389.20000000018626]","./assets/img/space/9.jpg","[""ArrowUp"",""ArrowRight""]","full practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","47","279580","0.0-3.0-8.0-1.3","pilot_wm_v1","null","8","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","48","285583","0.0-3.0-8.0-0.4","pilot_wm_v1","null","8","null","null","false","","","false","","","","[458.60000000009313,265.89999999990687]","./assets/img/space/10.jpg","[""ArrowUp"",""ArrowRight""]","full practice","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","49","286084","0.0-3.0-8.0-1.4","pilot_wm_v1","null","8","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","50","297136","0.0-3.0-9.0-0.0","pilot_wm_v1","null","8","null","null","false","","","","","","","765.1999999997206","<p> One last thing: sometimes, you will see a robber. The robber can be anywhere in the picture. </p>
            <p> If you do not stop them, you will lose treasure. </p>
            <img src='./assets/img/instructions/robber.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","51","305093","0.0-3.0-9.0-0.1","pilot_wm_v1","null","8","null","null","false","","","","","","","802.2999999998137","<p> If you see the robber, you should <b>press the space bar</b> rather than using the arrow keys. </p>
            <p> Try practicing that now! </p>","","instructions","","","","","","","","","","","","","",""
"revaluation","52","309114","0.0-3.0-10.0-0.0","pilot_wm_v1","null","8","null","null","false","","","false","","","","[712.6000000000931]","./assets/img/space/catch/0.jpg","[""ArrowUp""]","catch practice","space","-10","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","false","ArrowUp","true","","","","","","","",""
"html-keyboard-response","53","309617","0.0-3.0-10.0-1.0","pilot_wm_v1","null","8","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","54","313638","0.0-3.0-10.0-0.1","pilot_wm_v1","null","8","null","null","false","","","false","","","","[508.6999999997206]","./assets/img/space/catch/1.jpg","[""spaceBar""]","catch practice","space","0","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","spaceBar","true","","","","","","","",""
"html-keyboard-response","55","314141","0.0-3.0-10.0-1.1","pilot_wm_v1","null","8","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","56","318148","0.0-3.0-10.0-0.2","pilot_wm_v1","null","8","null","null","false","","","false","","","","[448]","./assets/img/space/catch/2.jpg","[""spaceBar""]","catch practice","space","0","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","spaceBar","true","","","","","","","",""
"html-keyboard-response","57","318652","0.0-3.0-10.0-1.2","pilot_wm_v1","null","8","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","58","326612","0.0-3.0-11.0-0.0","pilot_wm_v1","null","8","null","null","false","","","","","","","1712.1999999997206","<p> Sometimes, you will come across a special kind of treasure chest that requires a password. </p>
            <img src='./assets/img/instructions/beep_chest.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","59","349389","0.0-3.0-11.0-0.1","pilot_wm_v1","null","8","null","null","false","","","","","","","1178.8999999999069","<p> Your friend will send you the password using a series of beeps so that you can open the chest and earn treasure. </p>
            <p> You will hear two kinds of beeps, a high beep and a low beep. </p>
            <p> You should report the number of high beeps that you heard before seeing the chest. </p>
            <img src='./assets/img/instructions/listen.jpg' class='instructions-image'>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","60","372312","0.0-3.0-11.0-0.2","pilot_wm_v1","null","8","null","null","false","","","","","","","643","<p> For example, if you hear this series of beeps, you should report 4 as the password using the slider. </p>
            <p> After reporting a password for a chest, you should count the high beeps again starting from 0. </p>
            <p> Let's try practicing that now. </p>","","instructions","","","","","","","","","","","","","",""
"audio-button-response","61","380460","0.0-3.0-12.0-0.0-0.0","pilot_wm_v1","null","8","null","null","false","","","","","","","null","./assets/audio/beeps/practice_6.wav","null","","","","","","","","","","","","","","",""
"html-slider-response","62","383615","0.0-3.0-12.0-0.0-1.0","pilot_wm_v1","null","8","null","null","false","","","","","","","3154","<div style=""width:500px;"">
        <p>What is the password?</p>
        <img src='./assets/img/instructions/beep_chest.jpg' class='instructions-image'>","6","","","","","false","","","","50","0","6","","","",""
"comp-q","63","389327","0.0-3.0-12.0-0.0-2.0","pilot_wm_v1","null","8","null","null","false","","","","","","","867.3000000002794","<p>Correct! There were 6 high pitched beeps before you saw the chest. </p>","0","beep_answer","","","","","","","","","","","","","",""
"audio-button-response","64","397478","0.0-3.0-12.0-0.1-0.1","pilot_wm_v1","null","8","null","null","false","","","","","","","null","./assets/audio/beeps/practice_4.wav","null","","","","","","","","","","","","","","",""
"html-slider-response","65","400090","0.0-3.0-12.0-0.1-1.1","pilot_wm_v1","null","8","null","null","false","","","","","","","2611","<div style=""width:500px;"">
        <p>What is the password?</p>
        <img src='./assets/img/instructions/beep_chest.jpg' class='instructions-image'>","4","","","","","false","","","","50","0","4","","","",""
"comp-q","66","405726","0.0-3.0-12.0-0.1-2.1","pilot_wm_v1","null","8","null","null","false","","","","","","","826.5","<p>Correct! There were 4 high pitched beeps before you saw the chest. </p>","0","beep_answer","","","","","","","","","","","","","",""
"learning-instructions","67","417420","0.0-3.0-13.0-0.0","pilot_wm_v1","null","8","null","null","false","","","","","","","1261.6999999997206","<p> Good job! In the real game we will not tell you if you entered the right password. </p>
            <p> Do your best, the treasure you earn from these chests will also give you extra bonus money. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","68","423481","0.0-3.0-15.0-0.0-0.0","pilot_wm_v1","null","8","null","null","false","","","","","","","822.5999999996275","<p> Now, you will practice a shortened version of the game to get a sense of how it all fits together. </p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","69","427008","0.0-3.0-15.0-0.0-0.1","pilot_wm_v1","null","8","null","null","false","","","","","","","349.89999999990687","<p>This time you are searching for treasure in outer space.</p>","","instructions","","","","","","","","","","","","","",""
"learning-instructions","70","442860","0.0-3.0-15.0-1.0-0.0","pilot_wm_v1","null","8","null","null","false","","","","","","","1091.8999999999069","<p> Remember, when you see a picture of the place, use the up and down keys to <b>find an animal</b>.</p>
            <p> When you encounter an animal, you should use the left and right keys to <b>select a treasure chest</b>.</p>
            <p> Don't forget to look out for the robber! </p>","","instructions","","","","","","","","","","","","","",""
"revaluation","71","448898","0.0-3.0-15.0-2.0-0.0","pilot_wm_v1","null","8","null","null","false","","","false","","","","[1064.1000000000931,520.9000000003725]","./assets/img/space/11.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","72","449411","0.0-3.0-15.0-2.0-1.0","pilot_wm_v1","null","8","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","73","455437","0.0-3.0-15.0-2.0-0.1","pilot_wm_v1","null","8","null","null","false","","","false","","","","[696.8999999999069,288.1999999997206]","./assets/img/space/12.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","74","455952","0.0-3.0-15.0-2.0-1.1","pilot_wm_v1","null","8","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","75","461977","0.0-3.0-15.0-2.0-0.2","pilot_wm_v1","null","8","null","null","false","","","false","","","","[924.1999999997206,308.70000000018626]","./assets/img/space/13.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","76","462493","0.0-3.0-15.0-2.0-1.2","pilot_wm_v1","null","8","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","77","468522","0.0-3.0-15.0-2.0-0.3","pilot_wm_v1","null","8","null","null","false","","","false","","","","[526.8000000002794,345.89999999990687]","./assets/img/space/14.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","78","469023","0.0-3.0-15.0-2.0-1.3","pilot_wm_v1","null","8","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","79","475038","0.0-3.0-15.0-2.0-0.4","pilot_wm_v1","null","8","null","null","false","","","false","","","","[732.7000000001863,256]","./assets/img/space/11.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","80","475539","0.0-3.0-15.0-2.0-1.4","pilot_wm_v1","null","8","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","81","481542","0.0-3.0-15.0-2.0-0.5","pilot_wm_v1","null","8","null","null","false","","","false","","","","[728.2999999998137,224.09999999962747]","./assets/img/space/12.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","82","482058","0.0-3.0-15.0-2.0-1.5","pilot_wm_v1","null","8","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","83","488062","0.0-3.0-15.0-2.0-0.6","pilot_wm_v1","null","8","null","null","false","","","false","","","","[569.2999999998137,256]","./assets/img/space/13.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","84","488563","0.0-3.0-15.0-2.0-1.6","pilot_wm_v1","null","8","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","85","494567","0.0-3.0-15.0-2.0-0.7","pilot_wm_v1","null","8","null","null","false","","","false","","","","[672.0999999996275,206.40000000037253]","./assets/img/space/14.jpg","[""ArrowUp"",""ArrowRight""]","practice block","space","36","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","ArrowUp,ArrowRight","false","","","","","","","",""
"html-keyboard-response","86","495068","0.0-3.0-15.0-2.0-1.7","pilot_wm_v1","null","8","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"revaluation","87","499070","0.0-3.0-15.0-2.0-0.8","pilot_wm_v1","null","8","null","null","false","","","false","","","","[582.7999999998137]","./assets/img/space/catch/3.jpg","[""spaceBar""]","practice block","space","0","{""ArrowUp,ArrowLeft"":3,""ArrowUp,ArrowRight"":36,""ArrowDown,ArrowLeft"":15,""ArrowDown,ArrowRight"":23}","true","spaceBar","true","","","","","","","",""
"html-keyboard-response","88","499572","0.0-3.0-15.0-2.0-1.8","pilot_wm_v1","null","8","null","null","false","","","","","","","null","<div style=""font-size:60px;"">+</div>","null","fixation","","","","","","","","","","","","","",""
"learning-instructions","89","514221","0.0-3.0-15.0-3.0-0.0","pilot_wm_v1","null","8","null","null","false","","","","","","","1739","<p> Now, you will travel with a friend who will choose whether you go up or down first. </p>
            <p> On these turns, you will just see the animal that they found. You will still get to choose which chest to search for treasure.</p>","","instructions","","","","","","","","","","","","","",""
